"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test performance_glitch_user visual behavior.","11082","test_performance_glitch_user_visual_behavior","tests.visual","2026-04-26","passed","2026-04-26","","test_visual_problem_user","",""
"Test that problem_user exhibits visual differences (broken images).","1505","test_problem_user_visual_diffs","tests.visual","2026-04-26","passed","2026-04-26","","test_visual_problem_user","",""
"Test getting item quantity from cart.","268","test_cart_item_quantity","tests.e2e","2026-04-26","passed","2026-04-26","","test_cart","",""
"Test header component visual consistency across pages.","534","test_header_visual_consistency","tests.visual","2026-04-26","passed","2026-04-26","","test_layout_regression","",""
"Test that locked_out_user gets appropriate error.","4365","test_locked_out_user_cannot_login","tests.e2e","2026-04-26","passed","2026-04-26","","test_auth","",""
"Test that product prices are visible and valid.","114","test_product_prices_visible","tests.e2e","2026-04-26","passed","2026-04-26","","test_inventory","",""
"Test that empty cart is empty.","104","test_cart_empty","tests.e2e","2026-04-26","passed","2026-04-26","","test_cart","",""
"Test removing an item from cart.","280","test_remove_item_from_cart","tests.e2e","2026-04-26","passed","2026-04-26","","test_cart","",""
"Test removing a product from cart.","185","test_remove_product_from_cart","tests.e2e","2026-04-26","passed","2026-04-26","","test_inventory","",""
"Test that inventory page loads successfully.","122","test_inventory_page_loads","tests.e2e","2026-04-26","passed","2026-04-26","","test_inventory","",""
"Test retrieving all product names.","110","test_get_all_products","tests.e2e","2026-04-26","passed","2026-04-26","","test_inventory","",""
"Test opening and closing sidebar menu.","780","test_sidebar_menu_visibility","tests.e2e","2026-04-26","passed","2026-04-26","","test_edge_cases","",""
"Test sorting products A to Z.","378","test_sort_products_a_to_z","tests.e2e","2026-04-26","passed","2026-04-26","","test_inventory","",""
"Test logout functionality.","1132","test_logout","tests.e2e","2026-04-26","passed","2026-04-26","","test_auth","",""
"Test that username field is visible on login page.","254","test_username_field_is_visible","tests.e2e","2026-04-26","passed","2026-04-26","","test_auth","",""
"Test checking if a product is visible.","108","test_product_is_visible","tests.e2e","2026-04-26","passed","2026-04-26","","test_inventory","",""
"Test reset app state clears cart.","861","test_reset_app_state","tests.e2e","2026-04-26","passed","2026-04-26","","test_edge_cases","",""
"Test login with standard user.","1125","test_login_standard_user","tests.e2e","2026-04-26","passed","2026-04-26","","test_auth","",""
"Test getting total item count in cart.","318","test_cart_total_items_count","tests.e2e","2026-04-26","passed","2026-04-26","","test_cart","",""
"Test that password field is visible on login page.","257","test_password_field_is_visible","tests.e2e","2026-04-26","passed","2026-04-26","","test_auth","",""
"Test adding a product to cart.","150","test_add_product_to_cart","tests.e2e","2026-04-26","passed","2026-04-26","","test_inventory","",""
"Test page reload maintains state.","249","test_page_reload","tests.e2e","2026-04-26","passed","2026-04-26","","test_edge_cases","",""
"Test direct URL navigation.","94","test_url_navigation_directly","tests.e2e","2026-04-26","passed","2026-04-26","","test_edge_cases","",""
"Test that continue shopping button returns to inventory.","355","test_continue_shopping_returns_to_inventory","tests.e2e","2026-04-26","passed","2026-04-26","","test_cart","",""
"Test login page visual regression.","345","test_login_page_visual_regression","tests.visual","2026-04-26","passed","2026-04-26","","test_layout_regression","",""
"Test inventory page visual regression.","828","test_inventory_page_visual_regression","tests.visual","2026-04-26","passed","2026-04-26","","test_layout_regression","",""
"Test adding an item and viewing it in cart.","282","test_add_item_to_cart_and_view","tests.e2e","2026-04-26","passed","2026-04-26","","test_cart","",""
"Test adding multiple products to cart.","236","test_add_multiple_products_to_cart","tests.e2e","2026-04-26","passed","2026-04-26","","test_inventory","",""
"Test sorting products Z to A.","138","test_sort_products_z_to_a","tests.e2e","2026-04-26","passed","2026-04-26","","test_inventory","",""
"Test back button from cart returns to inventory.","291","test_back_button_from_cart","tests.e2e","2026-04-26","passed","2026-04-26","","test_edge_cases","",""
"Test checkout complete page visual regression.","805","test_checkout_complete_visual_regression","tests.visual","2026-04-26","passed","2026-04-26","","test_layout_regression","",""
"Test that cart badge updates when items are added.","174","test_cart_badge_updates","tests.e2e","2026-04-26","passed","2026-04-26","","test_edge_cases","",""
"Test cart page visual regression.","813","test_cart_page_visual_regression","tests.visual","2026-04-26","passed","2026-04-26","","test_layout_regression","",""
"Test login with invalid credentials.","4429","test_login_with_invalid_credentials","tests.e2e","2026-04-26","passed","2026-04-26","","test_auth","",""
"Test that login button is visible on login page.","277","test_login_button_is_visible","tests.e2e","2026-04-26","passed","2026-04-26","","test_auth","",""
